error_id,name_ru,description_ru,source,source_label,modeling_class,modeling_class_reason,n_trajectories_with_error,n_trajectories_total,p_trajectory,p_traj_ci_lower,p_traj_ci_upper,total_steps,p_message,p_msg_ci_lower,p_msg_ci_upper,step_mean,step_median,step_std,step_n,step_p25,step_p75,step_p90,best_distribution,best_dist_params,best_dist_ks_p,fit_conclusion,data_quality,insufficient_data
tool_timeout,Таймаут вызова инструмента,Внешний инструмент или shell-команда не ответили за отведённое время,trail,"TRAIL (GAIA + SWE-bench Lite, 2024)",Категория 3,Статистическое: задаётся распределением,2.0,143.0,0.013986,0.003844,0.049558,4544.0,0.00044,0.000121,0.001604,,,,,,,,,,,,high,True
tool_web_failure,Сбой доступа к веб-ресурсу,HTTP-ошибка при обращении к внешнему API или веб-сервису,trail,"TRAIL (GAIA + SWE-bench Lite, 2024)",Категория 3,Статистическое: задаётся распределением,5.0,143.0,0.034965,0.015026,0.079237,4544.0,0.0011,0.00047,0.002573,29.2,24.0,18.5,5.0,18.0,32.0,50.6,,,,,high,True
guardrails_triggered,Срабатывание защитных ограничений,Внешний сервис заблокировал запрос агента,magentic_one,AgentRx / magentic_one,Категория 3,Статистическое: задаётся распределением,23.0,44.0,0.522727,0.379352,0.662452,,,,,40.21,27.0,33.61,24.0,17.0,52.25,90.9,lognorm,"s=0.8879, loc=0.0000, scale=28.1013",0.9923,lognorm подтверждён (p=0.9923),medium,False
instruction_adherence_failure,Несоблюдение инструкций,Агент не выполнил инструкцию оркестратора или пользователя,magentic_one,AgentRx / magentic_one,Категория 1,Требует воспроизведения LLM-рассуждений,25.0,44.0,0.568182,0.422239,0.703175,,,,,54.38,52.0,34.99,197.0,22.0,81.0,106.8,weibull_min,"shape=1.5290, loc=0.0000, scale=60.2471",0.3425,weibull_min подтверждён (p=0.3425),medium,False
intent_not_supported,Неподдерживаемое намерение,Агент не способен выполнить запрошенное действие,magentic_one,AgentRx / magentic_one,Категория 1,Требует воспроизведения LLM-рассуждений,5.0,44.0,0.113636,0.049527,0.239794,,,,,45.82,24.0,39.34,22.0,16.25,95.0,103.6,lomax,"c=9577552363439.9043, loc=0.0000, scale=438826030106679.3750",0.3979,lomax подтверждён (p=0.3979),medium,True
intent_plan_misalignment,Несоответствие намерения и плана,Агент составил план не соответствующий задаче,magentic_one,AgentRx / magentic_one,Категория 1,Требует воспроизведения LLM-рассуждений,7.0,44.0,0.159091,0.079266,0.293665,,,,,68.79,78.0,39.49,19.0,41.0,103.0,110.4,,,,,medium,True
invalid_invocation,Некорректный вызов инструмента,Агент вызвал инструмент с неверными параметрами,magentic_one,AgentRx / magentic_one,Категория 3,Статистическое: задаётся распределением,1.0,44.0,0.022727,0.004023,0.11808,,,,,,,,,,,,,,,,medium,True
invention_of_new_information,Изобретение информации,"Агент выдумал данные, которых не было в источниках",magentic_one,AgentRx / magentic_one,Категория 1,Требует воспроизведения LLM-рассуждений,5.0,44.0,0.113636,0.049527,0.239794,,,,,38.12,26.0,34.61,8.0,16.5,38.75,72.2,,,,,medium,True
misinterpretation_of_tool_output,Неверная интерпретация результата,Агент неправильно понял вывод инструмента,magentic_one,AgentRx / magentic_one,Категория 3,Статистическое: задаётся распределением,17.0,44.0,0.386364,0.25721,0.533767,,,,,14.57,11.0,8.04,23.0,10.0,18.5,26.6,gamma,"shape=3.2242, loc=0.0000, scale=4.5175",0.7377,gamma подтверждён (p=0.7377),medium,True
system_failure,Системный сбой,Критический сбой инфраструктуры выполнения,magentic_one,AgentRx / magentic_one,Категория 3,Статистическое: задаётся распределением,1.0,44.0,0.022727,0.004023,0.11808,,,,,,,,,,,,,,,,medium,True
instruction_adherence_failure,Несоблюдение инструкций,Агент не выполнил инструкцию оркестратора или пользователя,tau_retail,AgentRx / tau_retail,Категория 1,Требует воспроизведения LLM-рассуждений,6.0,29.0,0.206897,0.098459,0.383904,,,,,20.33,20.0,14.41,6.0,7.0,31.5,38.0,,,,,medium,True
intent_not_supported,Неподдерживаемое намерение,Агент не способен выполнить запрошенное действие,tau_retail,AgentRx / tau_retail,Категория 1,Требует воспроизведения LLM-рассуждений,2.0,29.0,0.068966,0.019121,0.219649,,,,,,,,,,,,,,,,medium,True
intent_plan_misalignment,Несоответствие намерения и плана,Агент составил план не соответствующий задаче,tau_retail,AgentRx / tau_retail,Категория 1,Требует воспроизведения LLM-рассуждений,8.0,29.0,0.275862,0.146986,0.457175,,,,,25.5,24.0,7.12,8.0,20.0,31.5,34.2,,,,,medium,True
invalid_invocation,Некорректный вызов инструмента,Агент вызвал инструмент с неверными параметрами,tau_retail,AgentRx / tau_retail,Категория 3,Статистическое: задаётся распределением,2.0,29.0,0.068966,0.019121,0.219649,,,,,,,,,,,,,,,,medium,True
misinterpretation_of_tool_output,Неверная интерпретация результата,Агент неправильно понял вывод инструмента,tau_retail,AgentRx / tau_retail,Категория 3,Статистическое: задаётся распределением,7.0,29.0,0.241379,0.122183,0.42108,,,,,24.5,18.0,17.26,8.0,10.0,38.0,45.8,,,,,medium,True
system_failure,Системный сбой,Критический сбой инфраструктуры выполнения,tau_retail,AgentRx / tau_retail,Категория 3,Статистическое: задаётся распределением,1.0,29.0,0.034483,0.006113,0.171759,,,,,,,,,,,,,,,,medium,True
underspecified_user_intent,Недоопределённое намерение,Запрос пользователя слишком неточен для выполнения,tau_retail,AgentRx / tau_retail,Категория 1,Требует воспроизведения LLM-рассуждений,10.0,29.0,0.344828,0.199405,0.526552,,,,,25.8,26.0,6.16,10.0,21.0,31.5,32.2,,,,,medium,True
code_error,Ошибка в коде,Агент сгенерировал синтаксически или логически неверный код,who_and_when_hc,Who&When Hand-Crafted,Категория 3,Статистическое: задаётся распределением,11.0,46.0,0.23913,0.13912,0.379354,2394.0,0.004595,0.002568,0.008209,3.09,1.0,4.1,11.0,0.5,3.0,8.0,,,,,medium,True
factual_error,Фактическая ошибка,Агент использовал неверные факты из своих знаний,who_and_when_hc,Who&When Hand-Crafted,Категория 1,Требует воспроизведения LLM-рассуждений,4.0,46.0,0.086957,0.034335,0.203249,2394.0,0.001671,0.00065,0.004289,,,,,,,,,,,,medium,True
hallucination,Галлюцинация,"Агент выдумал факты, данные или ссылки",who_and_when_hc,Who&When Hand-Crafted,Категория 1,Требует воспроизведения LLM-рассуждений,2.0,46.0,0.043478,0.012005,0.145325,2394.0,0.000835,0.000229,0.003041,,,,,,,,,,,,medium,True
orchestration_failure,Сбой оркестрации,"Неверная маршрутизация задачи, ошибочное решение о следующем шаге",who_and_when_hc,Who&When Hand-Crafted,Категория 3,Статистическое: задаётся распределением,16.0,46.0,0.347826,0.226808,0.492302,2394.0,0.006683,0.004118,0.010829,21.31,13.5,21.51,16.0,7.75,26.0,50.5,,,,,medium,True
resource_abuse,Избыточное потребление ресурсов,"Исчерпание лимита шагов, зацикливание агента, чрезмерное потребление ресурсов",who_and_when_hc,Who&When Hand-Crafted,Категория 3,Статистическое: задаётся распределением,5.0,46.0,0.108696,0.047331,0.230381,2394.0,0.002089,0.000892,0.00488,6.0,5.0,6.29,5.0,2.0,5.0,12.8,,,,,medium,True
tool_web_failure,Сбой доступа к веб-ресурсу,HTTP-ошибка при обращении к внешнему API или веб-сервису,who_and_when_hc,Who&When Hand-Crafted,Категория 3,Статистическое: задаётся распределением,23.0,46.0,0.5,0.361187,0.638813,2394.0,0.010025,0.006746,0.014874,11.29,8.0,9.31,24.0,7.25,12.0,27.2,lognorm,"s=0.9811, loc=0.0000, scale=0.2439",0.9839,lognorm подтверждён (p=0.9839),medium,False
tool_web_failure,Сбой доступа к веб-ресурсу,HTTP-ошибка при обращении к внешнему API или веб-сервису,keyword_search_nebius,nebius/SWE-agent-trajectories (keyword),Категория 3,Статистическое: задаётся распределением,26379.0,80036.0,0.329589,0.326341,0.332854,4311283.0,0.022469,0.022329,0.022609,19.41,14.0,29.86,26379.0,8.0,24.0,36.0,,,,,high,False
resource_not_found,Ресурс не найден,"Файл, директория или запрашиваемый ресурс не существует в среде выполнения",keyword_search_nebius,nebius/SWE-agent-trajectories (keyword),Категория 3,Статистическое: задаётся распределением,33565.0,80036.0,0.419374,0.415959,0.422796,4311283.0,0.049727,0.049522,0.049933,13.19,10.0,12.01,33565.0,6.0,16.0,26.0,,,,,high,False
tool_timeout,Таймаут вызова инструмента,Внешний инструмент или shell-команда не ответили за отведённое время,keyword_search_itbench,ibm-research/ITBench-Trajectories (keyword),Категория 3,Статистическое: задаётся распределением,80.0,105.0,0.761905,0.672111,0.83321,19292.0,0.094288,0.090244,0.098493,45.16,47.5,29.34,80.0,17.75,61.25,76.5,,,,,high,False
permission_error,Ошибка доступа,"Отказ в доступе к файлу, директории или сервису из-за недостаточных прав",keyword_search_terminalbench,yoonholee/terminalbench-trajectories (keyword),Категория 3,Статистическое: задаётся распределением,267.0,52104.0,0.005124,0.004547,0.005775,1622075.0,0.000409,0.000379,0.000441,18.52,11.0,20.95,267.0,8.0,19.0,42.0,,,,,medium,False
memory_error,Ошибка памяти (OOM),Нехватка оперативной памяти при выполнении вычислительной задачи,keyword_search_terminalbench,yoonholee/terminalbench-trajectories (keyword),Категория 3,Статистическое: задаётся распределением,1750.0,52104.0,0.033587,0.032074,0.035168,1622075.0,0.012443,0.012274,0.012615,20.38,10.0,32.82,1750.0,2.0,26.0,50.0,,,,,medium,False
hardware_degradation,Деградация оборудования,Постепенное ухудшение характеристик оборудования со временем,теоретическая,,4,Симулятор не рассчитан на долгосрочную деградацию оборудования,,,,,,,,,,,,,,,,,,,,нет данных,нет данных,True
gpu_throttling,Троттлинг GPU,Снижение частот GPU из-за перегрева,теоретическая,,4,Редко в крупных кластерах; вне области применения,,,,,,,,,,,,,,,,,,,,нет данных,нет данных,True
correlated_ssd_failure,Коррелированные сбои SSD,Одновременные отказы нескольких накопителей в стойке,теоретическая,,4,Уровень инфраструктуры; вне области агентных траекторий,,,,,,,,,,,,,,,,,,,,нет данных,нет данных,True
network_power_failure,Сетевые и электросбои,Отказ сетевой инфраструктуры или электропитания,теоретическая,,4,Уровень инфраструктуры; вне области агентных траекторий,,,,,,,,,,,,,,,,,,,,нет данных,нет данных,True
bad_retry_policy,Неверная политика повторов,Некорректные параметры backoff/jitter вызывают retry storm,теоретическая,,2,Моделируется параметрами политики повторов в IR-блоках,,,,,,,,,,,,,,,,,,,,нет данных,нет данных,True
kv_transfer_failure,Сбой передачи KV-кэша,Ошибка при передаче кэша между узлами кластера,теоретическая,,2,Моделируется как отказ передачи состояния в IR-графе,,,,,,,,,,,,,,,,,,,,нет данных,нет данных,True
memory_bandwidth_bottleneck,Узкое место пропускной способности памяти,Конкуренция запросов за HBM снижает производительность,теоретическая,,2,Моделируется как снижение пропускной способности на блоках инференса,,,,,,,,,,,,,,,,,,,,нет данных,нет данных,True
