category,source,position_type,distribution,params,ks_statistic,ks_pvalue,low_confidence,ks_warning,mm_lambda
unclassified,who_and_when,absolute,lognorm,fit_failed: Invalid values in `data`.  Maximum likelihood estimation with 'lognorm' requires that 0.0 < (x - loc)/scale  < inf for each x in `data`.,,,True,,
unclassified,who_and_when,normalized,exponential,"0.0000, 0.3763",0.170521,0.012477,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
unclassified,who_and_when,normalized,weibull_min,"1.5600, 0.0000, 0.4548",0.176187,0.008867,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
unclassified,who_and_when,normalized,lognorm,fit_failed: Invalid values in `data`.  Maximum likelihood estimation with 'lognorm' requires that 0.0 < (x - loc)/scale  < inf for each x in `data`.,,,True,,
unclassified,who_and_when,normalized,beta,"0.8358, 4.0598, -0.0000, 1.6328",0.254545,2.4e-05,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
unclassified,who_and_when,normalized,uniform,"0.0000, 1.2632",0.343137,0.0,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
tool_web_failure,who_and_when,absolute,exponential,"3.0000, 7.8846",0.222696,0.129696,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки. λ̂_MLE=0.091873, λ̂_MM=0.091873. Близки, дополнительное подтверждение.",0.091873
tool_web_failure,who_and_when,absolute,weibull_min,"1.3915, 0.0000, 12.0861",0.261698,0.046411,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
tool_web_failure,who_and_when,absolute,lognorm,"0.6492, 0.0000, 8.5587",0.233716,0.098702,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
tool_web_failure,who_and_when,normalized,exponential,"0.0448, 0.3968",0.083237,0.986874,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
tool_web_failure,who_and_when,normalized,weibull_min,"1.2045, 0.0000, 0.4710",0.084155,0.985286,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
tool_web_failure,who_and_when,normalized,lognorm,"0.9672, 0.0000, 0.2951",0.103148,0.918366,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
tool_web_failure,who_and_when,normalized,beta,"0.7330, 4.1981, 0.0448, 2.6198",0.079532,0.99205,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
tool_web_failure,who_and_when,normalized,uniform,"0.0448, 1.5552",0.399601,0.000293,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
misinterpretation_of_tool_output,agentRx,absolute,exponential,"2.0000, 15.1290",0.249171,0.035039,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки. λ̂_MLE=0.058380, λ̂_MM=0.058380. Близки, дополнительное подтверждение.",0.05838
misinterpretation_of_tool_output,agentRx,absolute,weibull_min,"1.5567, 0.0000, 19.2032",0.155409,0.401285,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
misinterpretation_of_tool_output,agentRx,absolute,lognorm,"0.6749, 0.0000, 13.7575",0.126108,0.661511,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
misinterpretation_of_tool_output,agentRx,normalized,exponential,"0.0619, 0.3968",0.220433,0.183845,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
misinterpretation_of_tool_output,agentRx,normalized,weibull_min,"1.9337, 0.0000, 0.5178",0.100198,0.957289,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
misinterpretation_of_tool_output,agentRx,normalized,lognorm,"0.6527, 0.0000, 0.3840",0.115327,0.885592,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
misinterpretation_of_tool_output,agentRx,normalized,beta,"0.8274, 1.0074, 0.0619, 0.8934",0.13746,0.72725,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
misinterpretation_of_tool_output,agentRx,normalized,uniform,"0.0619, 0.8881",0.185801,0.360107,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
intent_not_supported,agentRx,absolute,exponential,"4.0000, 40.5833",0.177304,0.391457,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки. λ̂_MLE=0.022430, λ̂_MM=0.022430. Близки, дополнительное подтверждение.",0.02243
intent_not_supported,agentRx,absolute,weibull_min,"1.1677, 0.0000, 47.1799",0.178749,0.381682,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
intent_not_supported,agentRx,absolute,lognorm,"0.9709, 0.0000, 29.2434",0.172767,0.423097,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
intent_not_supported,agentRx,normalized,exponential,"0.0325, 0.5858",0.259768,0.084838,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
intent_not_supported,agentRx,normalized,weibull_min,"2.0746, 0.0000, 0.6872",0.215045,0.225875,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
intent_not_supported,agentRx,normalized,lognorm,"0.8633, 0.0000, 0.4886",0.240017,0.133862,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
intent_not_supported,agentRx,normalized,beta,"0.9568, 0.4912, -0.0663, 1.0663",0.192763,0.342201,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
intent_not_supported,agentRx,normalized,uniform,"0.0325, 0.9675",0.260153,0.084057,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
code_error,who_and_when,absolute,exponential,"0.0000, 2.6667",0.253956,0.034174,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки. λ̂_MLE=0.375000, λ̂_MM=0.375000. Близки, дополнительное подтверждение.",0.375
code_error,who_and_when,absolute,weibull_min,"1.0432, 0.0000, 2.7588",0.273531,0.017862,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
code_error,who_and_when,absolute,lognorm,fit_failed: Invalid values in `data`.  Maximum likelihood estimation with 'lognorm' requires that 0.0 < (x - loc)/scale  < inf for each x in `data`.,,,True,,
code_error,who_and_when,normalized,exponential,"0.0000, 0.2474",0.2,0.157969,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
code_error,who_and_when,normalized,weibull_min,"1.3456, 0.0000, 0.2966",0.2,0.157969,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
code_error,who_and_when,normalized,lognorm,fit_failed: Invalid values in `data`.  Maximum likelihood estimation with 'lognorm' requires that 0.0 < (x - loc)/scale  < inf for each x in `data`.,,,True,,
code_error,who_and_when,normalized,beta,"0.7097, 2.8600, -0.0000, 1.1419",0.2,0.157969,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
code_error,who_and_when,normalized,uniform,"0.0000, 0.9000",0.42963,1.5e-05,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
guardrails_triggered,agentRx,absolute,exponential,"5.0000, 35.2083",0.083333,0.991179,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки. λ̂_MLE=0.024870, λ̂_MM=0.024870. Близки, дополнительное подтверждение.",0.02487
guardrails_triggered,agentRx,absolute,weibull_min,"1.2550, 0.0000, 43.4159",0.117266,0.858462,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
guardrails_triggered,agentRx,absolute,lognorm,"0.8879, 0.0000, 28.1013",0.082301,0.992349,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
guardrails_triggered,agentRx,normalized,exponential,"0.2048, 0.7034",0.510463,3e-06,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
guardrails_triggered,agentRx,normalized,weibull_min,"6.6669, 0.0000, 0.9742",0.52925,1e-06,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
guardrails_triggered,agentRx,normalized,lognorm,"0.3954, 0.0000, 0.8585",0.483496,1.1e-05,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
guardrails_triggered,agentRx,normalized,beta,"0.3166, 0.0471, 0.1273, 0.8727",0.67594,0.0,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
guardrails_triggered,agentRx,normalized,uniform,"0.2048, 0.7952",0.833333,0.0,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
